Step,Volumes,Density
7600,2.0035079999999997e-19,0.5905839237976589
7700,1.998827e-19,0.5919669966435314
7800,1.9934959999999998e-19,0.5935500327063611
7900,1.9882829999999997e-19,0.5951062378947062
8000,1.9832576999999997e-19,0.5966141545801134
8100,1.9788872999999999e-19,0.5979317852007034
8200,1.9755167e-19,0.5989519683635172
8300,1.9724292999999997e-19,0.5998894946450045
8400,1.9698510999999996e-19,0.6006746479467407
8500,1.9683270999999998e-19,0.6011397272333445
8600,1.9673565999999999e-19,0.601436270374166
8700,1.9669867e-19,0.6015493729571226
8800,1.9669467e-19,0.6015616061177458
8900,1.9666060999999997e-19,0.6016657916397188
9000,1.9658010999999998e-19,0.6019121751432532
9100,1.9647127999999997e-19,0.6022455882610426
9200,1.9628037999999998e-19,0.6028313252705135
9300,1.9598242e-19,0.603747834116958
9400,1.9566428e-19,0.6047294968708646
9500,1.9534554999999998e-19,0.6057161865217815
9600,1.9496145e-19,0.6069095280118197
9700,1.9456473999999997e-19,0.608146993129382
9800,1.9425486999999998e-19,0.6091170924054568
9900,1.9402201999999998e-19,0.6098481069313679
10000,1.9373652999999997e-19,0.6107467786276548
10100,1.9338057999999997e-19,0.611870962430664
10200,1.9301456999999998e-19,0.6130312421492325
10300,1.9266592e-19,0.6141405890569541
10400,1.9223709e-19,0.6155105739480347
10500,1.9174198e-19,0.6170999256396538
10600,1.9134347e-19,0.6183851562846644
10700,1.9101404e-19,0.6194516465910045
10800,1.9064695e-19,0.6206443984548401
10900,1.9028437e-19,0.621827013958109
11000,1.8993614e-19,0.6229670751443089
11100,1.8960140999999998e-19,0.6240668864224164
11200,1.8928257e-19,0.6251181056977406
11300,1.8900013e-19,0.626052276260339
11400,1.8869367e-19,0.6270690564235673
11500,1.8832368999999998e-19,0.6283009938898287
11600,1.8789902999999998e-19,0.6297209815292819
11700,1.8743201999999998e-19,0.6312900090390106
11800,1.8691898e-19,0.6330227224651022
11900,1.863691e-19,0.6348904491141503
12000,1.8583486999999998e-19,0.6367156045579605
12100,1.8542715999999998e-19,0.6381155899707465
12200,1.8510535999999998e-19,0.6392249343833155
12300,1.8478042e-19,0.64034902399291
12400,1.8446446999999998e-19,0.6414458112177375
12500,1.8418568999999998e-19,0.6424166915464496
12600,1.8391907e-19,0.6433479769118015
12700,1.8364001999999997e-19,0.6443255756561125
12800,1.8335294999999999e-19,0.6453343761308449
12900,1.8299643999999999e-19,0.6465916036399396
13000,1.8258029e-19,0.648065361272019
13100,1.8214945e-19,0.649598237052047
13200,1.8175814999999998e-19,0.6509967316458711
13300,1.8139045e-19,0.6523163793904254
13400,1.8100176999999997e-19,0.6537171520477397
13500,1.8062960999999998e-19,0.6550640373967479
13600,1.8026532e-19,0.6563878265658641
13700,1.7985876999999998e-19,0.6578715155229851
13800,1.7938661999999997e-19,0.6596030495473966
13900,1.7894051e-19,0.6612474816350975
14000,1.7851567e-19,0.662821149538301
14100,1.7808851e-19,0.6644109808094861
14200,1.7769813e-19,0.6658706065167933
