ITEM: TIMESTEP
15000
ITEM: NUMBER OF ATOMS
36864
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.4573366857295520e+00 6.1861463507472472e+01 5.5225504714569587e+00
1.2906956271741228e+00 8.7804850861747298e+01 4.7535763502863322e+00
-6.2691553259668564e-01 1.1362208153259830e+02 2.7163077488921520e+01
ITEM: ATOMS id mol type x y z ix iy iz 
135 4 1 0.239145 5.79227 8.80138 0 0 0 
136 4 1 -0.837998 5.39153 9.67225 0 0 0 
137 4 1 -0.117593 4.80526 13.7651 0 0 0 
138 4 2 1.7644 5.73014 13.479 0 0 0 
139 4 2 2.54094 6.25735 11.2115 0 0 0 
140 4 2 3.54069 6.66418 9.03491 0 0 0 
141 4 2 3.12814 6.98854 6.54304 0 0 0 
142 4 2 0.925869 6.40485 5.56078 0 0 0 
143 4 2 52.1141 5.75238 6.86988 -1 0 0 
144 4 2 51.3059 5.06871 9.12671 -1 0 0 
145 5 1 4.77778 11.7361 28.3333 0 0 0 
146 5 1 3.65634 11.7275 29.1801 0 0 0 
147 5 1 3.7914 11.2667 30.4699 0 0 0 
148 5 1 2.71794 11.1898 31.3443 0 0 0 
149 5 1 2.86933 10.6633 32.6488 0 0 0 
150 5 1 1.76014 10.7712 33.5091 0 0 0 
151 5 1 0.464133 11.1042 33.0338 0 0 0 
152 5 1 0.348001 11.7197 31.801 0 0 0 
153 5 1 1.51723 11.7889 30.9605 0 0 0 
154 5 1 1.40471 12.3964 29.6832 0 0 0 
155 5 1 4.63844 12.1304 27.0034 0 0 0 
156 5 2 5.77272 11.443 28.7012 0 0 0 
157 5 2 4.74173 10.8366 30.7929 0 0 0 
158 5 2 3.79579 10.2257 33.0369 0 0 0 
159 5 2 1.81235 10.3467 34.4863 0 0 0 
160 5 2 52.663 11.1407 33.7419 -1 0 0 
161 5 2 52.3942 11.9358 31.4184 -1 0 0 
162 5 2 0.548763 13.0023 29.3724 0 0 0 
163 5 1 2.30975 12.7807 27.4699 0 0 0 
164 5 1 3.39589 12.6135 26.5805 0 0 0 
165 5 1 3.21541 12.9947 25.2381 0 0 0 
166 5 1 4.28155 12.9423 24.3046 0 0 0 
167 5 1 4.11165 13.3994 23.0075 0 0 0 
168 5 1 5.18928 13.2879 22.1014 0 0 0 
169 5 1 6.43599 12.8469 22.5526 0 0 0 
170 5 1 6.59994 12.3773 23.8366 0 0 0 
171 5 1 5.52341 12.4775 24.7734 0 0 0 
172 5 1 5.68997 12.0852 26.0985 0 0 0 
173 5 1 2.44991 12.3099 28.7676 0 0 0 
174 5 2 1.3922 13.2032 27.1322 0 0 0 
175 5 2 2.18645 13.3481 25.0447 0 0 0 
176 5 2 3.07834 13.6772 22.7989 0 0 0 
177 5 2 5.05577 13.4704 21.0459 0 0 0 
178 5 2 7.20772 12.7455 21.8369 0 0 0 
179 5 2 7.62894 12.0999 24.0745 0 0 0 
180 5 2 6.68399 11.6396 26.4096 0 0 0 
181 6 1 51.798 7.88557 26.6577 -1 0 0 
