ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
2304
ITEM: BOX BOUNDS xy xz yz pp pp pp
0.0000000000000000e+00 2.9120725000000000e+01 2.8813730000000000e+00
0.0000000000000000e+00 3.7682479000000001e+01 1.1753520000000000e+00
0.0000000000000000e+00 2.8248791000000001e+01 6.7162439999999997e+00
ITEM: ATOMS id mol type x y z ix iy iz 
132 4 1 3.12129 5.22162 8.86642 0 0 0 
133 4 1 1.90215 4.79907 8.31323 0 0 0 
134 4 1 0.905026 4.25568 9.13942 0 0 0 
135 4 1 1.12785 4.13018 10.5225 0 0 0 
136 4 1 25.2008 3.58454 11.3565 -1 0 0 
137 4 1 3.69646 34.213 15.5095 0 -1 0 
138 4 2 2.74835 4.12219 15.0989 0 0 0 
139 4 2 3.51818 4.7732 12.8837 0 0 0 
140 4 2 4.28982 5.43317 10.6647 0 0 0 
141 4 2 3.8907 5.64823 8.23201 0 0 0 
142 4 2 1.72861 4.8955 7.24599 0 0 0 
143 4 2 25.0267 3.93549 8.70391 -1 0 0 
144 4 2 24.2587 3.25228 10.9317 -1 0 0 
145 5 1 5.43264 10.9534 0.23125 0 0 0 
146 5 1 4.44147 10.9608 1.22694 0 0 0 
147 5 1 4.66561 10.3134 2.4539 0 0 0 
148 5 1 3.67553 10.3253 3.45129 0 0 0 
149 5 1 3.89847 9.68395 4.68258 0 0 0 
150 5 1 2.90093 9.69235 5.67072 0 0 0 
151 5 1 1.68338 10.3494 5.43663 0 0 0 
152 5 1 1.45932 10.9955 4.21228 0 0 0 
153 5 1 2.45015 10.9837 3.21603 0 0 0 
154 5 1 2.22587 11.6293 1.98886 0 0 0 
155 5 1 6.38488 18.3198 27.2548 0 0 -1 
156 5 2 6.37425 10.4434 0.40869 0 0 0 
157 5 2 5.6074 9.80375 2.63219 0 0 0 
158 5 2 4.84007 9.17837 4.87438 0 0 0 
159 5 2 3.06927 9.18821 6.61669 0 0 0 
160 5 2 25.9786 10.3605 6.2027 -1 0 0 
161 5 2 25.5793 11.5007 4.03886 -1 0 0 
162 5 2 1.2842 12.1385 1.81025 0 0 0 
163 5 1 4.16973 18.9875 28.0176 0 0 -1 
164 5 1 5.16092 18.9801 27.0218 0 0 -1 
165 5 1 4.93676 19.6275 25.7949 0 0 -1 
166 5 1 5.92685 19.6156 24.7975 0 0 -1 
167 5 1 5.7039 20.257 23.5662 0 0 -1 
168 5 1 6.70144 20.2486 22.5781 0 0 -1 
169 5 1 7.919 19.5915 22.8122 0 0 -1 
170 5 1 8.14304 18.9454 24.0365 0 0 -1 
171 5 1 7.15223 18.9572 25.0328 0 0 -1 
172 5 1 7.37651 18.3116 26.2599 0 0 -1 
173 5 1 3.21748 11.6211 0.993922 0 0 0 
174 5 2 3.22814 19.4975 27.8401 0 0 -1 
