ITEM: TIMESTEP
5000
ITEM: NUMBER OF ATOMS
36864
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.2920507710863542e+00 6.1729010299258675e+01 5.5494495383062645e+00
1.1461529366084957e+00 8.7983299794646427e+01 4.7595099898656983e+00
-6.9822104248359396e-01 1.1369338704248413e+02 2.7196983731255067e+01
ITEM: ATOMS id mol type x y z ix iy iz 
260 8 1 58.2017 69.8896 47.3836 -1 -1 0 
261 8 1 57.8779 70.1178 46.0322 -1 -1 0 
262 8 1 6.16848 70.5353 45.1575 0 -1 0 
263 8 1 52.619 11.3572 41.042 -1 0 0 
264 8 2 56.1306 70.2022 41.4489 -1 -1 0 
265 8 2 55.3526 69.8009 43.851 -1 -1 0 
266 8 2 54.6564 69.0295 46.0534 -1 -1 0 
267 8 2 55.1938 68.6693 48.3242 -1 -1 0 
268 8 2 57.3454 69.18 49.2871 -1 -1 0 
269 8 2 6.48619 70.1439 47.756 0 -1 0 
270 8 2 7.20363 70.7489 45.4104 0 -1 0 
271 8 1 1.39771 11.5195 42.9979 0 0 0 
272 8 1 1.13537 11.6861 41.6161 0 0 0 
273 8 1 2.16742 12.1255 40.7504 0 0 0 
274 8 1 2.0514 12.2451 39.3765 0 0 0 
275 8 1 3.1991 12.6879 38.5987 0 0 0 
276 8 1 2.96872 12.9026 37.1897 0 0 0 
277 8 1 1.66589 12.6561 36.6175 0 0 0 
278 8 1 0.556452 12.2612 37.4692 0 0 0 
279 8 1 0.778267 12.0646 38.8463 0 0 0 
280 8 1 52.4301 11.5572 39.6761 -1 0 0 
281 8 1 58.6092 70.7476 43.8217 -1 -1 0 
282 8 2 2.29851 11.8145 43.4032 0 0 0 
283 8 2 3.17835 12.2816 41.2503 0 0 0 
284 8 2 4.17146 12.8783 39.0197 0 0 0 
285 8 2 3.81808 13.3115 36.615 0 0 0 
286 8 2 1.42312 12.7661 35.5384 0 0 0 
287 8 2 52.2844 12.0309 37.034 -1 0 0 
288 8 2 51.4125 11.3229 39.2949 -1 0 0 
289 9 1 5.44553 17.7793 57.2731 0 0 0 
